[2025-03-21T23:37:44.892Z] debug: 	Saved 2 profiles, took: 1.94ms
[2025-03-21T23:37:54.064Z] info: 	[Запрос Клиента] /launcher/profile/info
[2025-03-21T23:37:54.066Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:38:04.931Z] debug: 	Saved 2 profiles, took: 2.11ms
[2025-03-21T23:38:10.173Z] info: 	[Запрос Клиента] /fika/update/ping
[2025-03-21T23:38:18.049Z] debug: 	[WS] Пингуем игрока: 67dd9f490003edb807c3a899
[2025-03-21T23:38:18.049Z] debug: 	[WS] Веб-сокет потерян, удаляем соединение
[2025-03-21T23:38:24.965Z] debug: 	Saved 2 profiles, took: 5.13ms
[2025-03-21T23:38:40.206Z] info: 	[Запрос Клиента] /fika/update/ping
[2025-03-21T23:38:44.996Z] debug: 	Saved 2 profiles, took: 2.06ms
[2025-03-21T23:38:54.070Z] info: 	[Запрос Клиента] /launcher/profile/info
[2025-03-21T23:38:54.072Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:39:00.023Z] debug: 	Saved 2 profiles, took: 3.56ms
[2025-03-21T23:39:05.774Z] info: 	[Запрос Клиента] /fika/update/setstatus
[2025-03-21T23:39:10.283Z] info: 	[Запрос Клиента] /fika/update/ping
[2025-03-21T23:39:13.808Z] info: 	[Запрос Клиента] /client/localGame/weather
[2025-03-21T23:39:13.887Z] info: 	[Запрос Клиента] /client/game/bot/generate
[2025-03-21T23:39:14.061Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:14.309Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:14.690Z] debug: 	assault No default: mod_pistol_grip mod found for: weapon_mossberg_590a1_12g, using existing pool
[2025-03-21T23:39:14.771Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:14.930Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:15.063Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:15.305Z] debug: 	assault No default: mod_pistol_grip mod found for: weapon_mossberg_590a1_12g, using existing pool
[2025-03-21T23:39:15.529Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:15.579Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:16.260Z] debug: 	Failed placing item: 3 of: 4 items into: skier containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:16.457Z] debug: 	Не удалось найти данные о калибре для оружия launcher_ak_toz_gp25_40_vog с id 62e7e7bbe6da9612f743f1e0, возврат к стандартному боеприпасу: 
[2025-03-21T23:39:16.801Z] debug: 	followerbirdeye Chosen default: mod_gas_block mod found for: weapon_colt_m4a1_556x45 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:16.801Z] debug: 	followerbirdeye mod_gas_block Mod pool for: weapon_colt_m4a1_556x45 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:16.833Z] debug: 	followerbirdeye Chosen default: mod_gas_block mod found for: weapon_colt_m4a1_556x45 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:16.833Z] debug: 	followerbirdeye mod_gas_block Mod pool for: weapon_colt_m4a1_556x45 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:16.866Z] debug: 	followerbirdeye Chosen default: mod_gas_block mod found for: weapon_colt_m4a1_556x45 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:16.866Z] debug: 	followerbirdeye mod_gas_block Mod pool for: weapon_colt_m4a1_556x45 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:16.894Z] debug: 	followerbirdeye Chosen default: mod_gas_block mod found for: weapon_colt_m4a1_556x45 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:16.895Z] debug: 	followerbirdeye mod_gas_block Mod pool for: weapon_colt_m4a1_556x45 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:16.921Z] debug: 	followerbirdeye Chosen default: mod_gas_block mod found for: weapon_colt_m4a1_556x45 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:16.921Z] debug: 	followerbirdeye mod_gas_block Mod pool for: weapon_colt_m4a1_556x45 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:16.970Z] debug: 	Failed placing item: 3 of: 4 items into: bossbully containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
[2025-03-21T23:39:17.026Z] debug: 	followerbully Chosen default: mod_handguard mod found for: weapon_izhmash_ak103_762x39 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:17.026Z] debug: 	followerbully mod_handguard Mod pool for: weapon_izhmash_ak103_762x39 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:17.044Z] debug: 	followerbully Chosen default: mod_handguard mod found for: weapon_izhmash_ak103_762x39 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:17.044Z] debug: 	followerbully mod_handguard Mod pool for: weapon_izhmash_ak103_762x39 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:17.052Z] debug: 	followerbully Chosen default: mod_handguard mod found for: weapon_izhmash_ak74m_545x39 weapon conflicts with item on weapon, cannot use default
[2025-03-21T23:39:17.052Z] debug: 	followerbully mod_handguard Mod pool for: weapon_izhmash_ak74m_545x39 weapon has only incompatible items, using parent list instead
[2025-03-21T23:39:17.103Z] debug: 	Failed placing item: 3 of: 4 items into: sectantpriest containers: Pockets. Tried: 4 times, reason: NO_SPACE, skipping
